"Report Written:","12:42 Saturday, February 07, 2026"
"Project Path:","E:\Er.Vijay_Kushwah\PCB\RGB card\main.prj"
"Design Path:","E:\Er.Vijay_Kushwah\PCB\RGB card\main.pcb"
"Design Title:",
"Created:","04-02-2026 5.22.00 PM"
"Last Saved:","05-02-2026 12.26.57 PM"
"Editing Time:","1145 min"
"Units:","mm (precision 1)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"J1","1","16X2_ROW_CONN","","TE_1761681-6","","","","",""
"J2","1","16X2_ROW_CONN","","TE_1761681-6","","","","",""
"RV1","1","B72210S0350K101","","B722(12X4.8)","EPCOS","B72210S0350K101","2896780P","","Epcos Standard Series Metal Oxide Varistor 2.4nF 5A 110V"
"C1","1","C","100nF","SM","","","","","Capacitor"
"C2","1","C","100nF","SM","","","","","Capacitor"
"C3","1","C","100nF","SM","","","","","Capacitor"
"C42","1","C","100nF","SM","","","","","Capacitor"
"C39","1","Capacitor_Pol","220uF","DSCV","","","","",""
"PL1","1","CONN_SIL_5","","DSC","","","","","5 way Pin Header"
"LED1","1","LED","LED 5MM RED","DSC","","","","","Light Em Di"
"U3","1","MAX485CSA","","SO-G8_1","","MAX485CSA","","","IC TXRX RS485/RS422 LOWPWR 8SOIC"
"IC1","1","MG82F6D32AD32","","QFP80P900X900X160-32N","Megawin","MG82F6D32AD32","","","Single-chip 8-bits microcontroller"
"R54","1","R","0E","SM","","","","","Resistor"
"R55","1","R","1K","SM","","","","","Resistor"
"R2","1","R","4.7K","SM","","","","","Resistor"
"R5","1","R","4.7K","SM","","","","","Resistor"
"R56","1","R","10E","SM","","","","","Resistor"
"R1","1","R","47K","SM","","","","","Resistor"
"R3","1","R","100E","SM","","","","","Resistor"
"R4","1","R","100E","SM","","","","","Resistor"
"R6","1","R","120E","SM","","","","","Resistor"
"R7","1","R","NO","SM","","","","","Resistor"
"D25","1","S1M","","DIOM5227X270N","onsemi","S1M","","","ON SEMICONDUCTOR - S1M - DIODE, STANDARD, 1A, 1000V, SMD"
"D10","1","SM712","","SOT95P237X120-3N","SEMTECH","SM712","","","12 V TVS Diode Array For ESD and Latch-Up Protection"
"TB2","1","TB3","","DSC","","","","",""
"TB9","1","TB3","","DSC","","","","",""
